"Pattern","Blue","Red","Yellow","Black","White","Orange","Pink","Green","Brown"
"XOOONXNNX","0"," 0"," 0"," 0"," 1"," 0"," 1"," 1"," 0"
"XOXNONOXN","0"," 0"," 0"," 8"," 0"," 13"," 0"," 0"," 2"
"NNNOXOXNN","2"," 2"," 2"," 0"," 0"," 0"," 0"," 2"," 2"
"NNOXXONNN","2"," 3"," 0"," 0"," 0"," 0"," 2"," 2"," 5"
"XONONNNNX","0"," 0"," 2"," 0"," 2"," 2"," 0"," 0"," 0"
"ONOXXONXN","0"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
"XNNXNNOON","0"," 2"," 2"," 0"," 2"," 2"," 0"," 0"," 2"
"NNONXXONN","2"," 2"," 0"," 2"," 0"," 0"," 0"," 2"," 2"
"NXOOXNXON","2"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 3"
"XOONNONXX","0"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 0"
"NNOOXNXNN","2"," 5"," 0"," 0"," 0"," 11"," 0"," 3"," 5"
"NOOXNXNXO","1"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"
"XOXNNONNN","0"," 0"," 0"," 2"," 2"," 0"," 2"," 3"," 2"
"XONNNOXNN","0"," 0"," 2"," 2"," 2"," 0"," 0"," 2"," 2"
"XNXNOOXNO","0"," 1"," 0"," 1"," 0"," 0"," 0"," 1"," 0"
"XNOONXOXN","0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 1"
"ONOXXNXON","0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 2"
"OONNXNNNX","0"," 0"," 2"," 5"," 0"," 2"," 2"," 2"," 0"
"NXNXNONNO","2"," 0"," 2"," 0"," 2"," 0"," 2"," 2"," 0"
"OOXOXXNNN","0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"
"NNNNOXNOX","2"," 2"," 2"," 2"," 0"," 0"," 2"," 0"," 0"
"XXNXOONNO","0"," 0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"
"ONNXNXXOO","0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 0"
"ONNONNXNX","0"," 2"," 2"," 0"," 2"," 2"," 0"," 2"," 0"
"ONOXNNNXN","0"," 2"," 0"," 0"," 2"," 2"," 2"," 0"," 2"
"NOXOXXONN","1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"
"NXNONONXN","2"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"
"XNNXOONNN","0"," 2"," 2"," 0"," 0"," 0"," 2"," 2"," 2"
"ONXONNNNX","0"," 2"," 0"," 0"," 2"," 2"," 2"," 2"," 0"
"OXXXNNNOO","0"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 0"
"OXXXNOONN","0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 1"
"NNONNOXXN","2"," 2"," 0"," 2"," 2"," 0"," 0"," 0"," 2"
"NNONXXOOX","1"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"
"NXNONOOXX","1"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"
"ONNNXNOXN","0"," 2"," 3"," 2"," 0"," 2"," 0"," 0"," 2"
"NNOOXNXOX","1"," 1"," 0"," 0"," 0"," 2"," 0"," 0"," 0"
"NXXOXONNO","1"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"
"ONXXNNONN","0"," 2"," 0"," 0"," 2"," 2"," 0"," 2"," 2"
"NNOONXXNN","2"," 2"," 0"," 0"," 2"," 0"," 0"," 2"," 2"
"XNOXXNNOO","0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"
"XNOXXOONN","0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 1"
"OXNNOXXON","0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 1"
"NNOONNNXX","2"," 2"," 0"," 0"," 2"," 2"," 2"," 0"," 0"
"XNNXNNONO","0"," 2"," 2"," 0"," 2"," 2"," 0"," 2"," 0"
"XOONNNXOX","0"," 0"," 0"," 1"," 1"," 1"," 0"," 0"," 0"
"NONXOXNNN","2"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 2"
"XNNNOXONN","0"," 2"," 2"," 2"," 0"," 0"," 0"," 2"," 2"
"ONNXONNXN","0"," 2"," 2"," 0"," 0"," 2"," 2"," 0"," 21"
"NXOONXXNO","1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"
"XNXNOOXON","0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"
"ONOXXNXNO","0"," 1"," 0"," 0"," 0"," 1"," 0"," 1"," 0"
"XONNONXXO","0"," 0"," 3"," 1"," 0"," 1"," 0"," 0"," 0"
"NNXNNNONN","0"," 0"," 0"," 4"," 4"," 4"," 0"," 0"," 4"
"NXNXNONON","2"," 0"," 0"," 0"," 2"," 0"," 2"," 0"," 2"
"NXNXONOXO","1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"
"XNNOOXOXN","0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"
"NNNXONOXN","2"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 0"
"OONXOXNXN","0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 1"
"ONNNOXNXN","0"," 0"," 0"," 2"," 0"," 0"," 2"," 0"," 2"
"XNOOXNOXN","0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"
"NXONNXNON","2"," 0"," 0"," 2"," 2"," 0"," 2"," 0"," 2"
"NONXNXONN","2"," 0"," 2"," 0"," 2"," 0"," 0"," 2"," 2"
"NOONNNXXN","2"," 0"," 0"," 2"," 2"," 2"," 0"," 0"," 2"
"NONNXOXXO","1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"
"NNXNNOXON","2"," 2"," 0"," 0"," 2"," 0"," 0"," 0"," 2"
"NOXNOONXX","1"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"
"NNNNXNNON","0"," 14"," 7"," 0"," 0"," 7"," 0"," 0"," 12"
"NNXOXNNON","2"," 2"," 0"," 0"," 0"," 0"," 2"," 0"," 0"
"ONNXNNNXO","0"," 0"," 2"," 0"," 2"," 2"," 2"," 0"," 0"
"NNNNNXOOX","2"," 2"," 2"," 2"," 2"," 0"," 0"," 0"," 0"
"NNNOXNXON","3"," 0"," 2"," 0"," 0"," 2"," 0"," 0"," 0"
"NXONNNONX","2"," 0"," 0"," 2"," 2"," 2"," 0"," 2"," 0"
"XXOXOONNN","0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"
"OXNNNNOXN","0"," 0"," 2"," 2"," 2"," 2"," 0"," 0"," 0"
"OXNXOXNON","0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 1"
"NXONXONNN","2"," 0"," 0"," 2"," 0"," 0"," 2"," 2"," 3"
"ONXOOXNXN","0"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
"NONXONNNX","2"," 0"," 3"," 0"," 0"," 2"," 2"," 3"," 0"
"NNOXNOXOX","1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"NNONXXNNO","0"," 2"," 0"," 2"," 0"," 0"," 4"," 0"," 0"
"NONXXNNNO","2"," 0"," 2"," 0"," 0"," 2"," 2"," 2"," 0"
"NNONOXNNX","2"," 2"," 0"," 2"," 0"," 0"," 12"," 2"," 0"
"NONOXXOXN","12"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 1"
"OXXOONXNN","0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 1"
"NOXNONXNN","2"," 0"," 0"," 2"," 0"," 2"," 0"," 2"," 2"
"XXNNONOOX","0"," 0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"
"NXOONXXON","1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"XXOXNNONO","0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"
"OXONNXOXN","0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 1"
"XXNNOXNOO","0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"
"XNNXXOONO","0"," 1"," 1"," 0"," 0"," 0"," 0"," 1"," 0"
"OXNXNOOXN","0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"
"ONXXNXOON","0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 1"
"XONONXNOX","0"," 0"," 1"," 0"," 1"," 0"," 1"," 0"," 0"
"XNOXOXNNO","0"," 1"," 0"," 0"," 0"," 0"," 1"," 1"," 0"
"ONXXONONX","0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
"NNOONXNXN","2"," 2"," 0"," 0"," 2"," 0"," 2"," 0"," 2"
"XNNXONNON","0"," 2"," 2"," 0"," 0"," 2"," 2"," 0"," 2"
"NXOOXXNON","39"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"
"ONXXXNONO","0"," 1"," 0"," 0"," 0"," 1"," 0"," 1"," 0"
"XNNXONNNO","0"," 2"," 2"," 0"," 0"," 2"," 2"," 2"," 0"
"NXOONNXNN","2"," 0"," 0"," 0"," 2"," 2"," 0"," 2"," 2"
"OOXNNOXNX","0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"
"NNXOONNNX","2"," 0"," 0"," 0"," 0"," 2"," 0"," 2"," 0"
"NNNOXNXNO","2"," 2"," 2"," 0"," 0"," 4"," 0"," 2"," 0"
"NNXNNOXNO","2"," 2"," 0"," 2"," 2"," 0"," 0"," 2"," 0"
"XNNONONNX","0"," 0"," 2"," 0"," 2"," 0"," 0"," 2"," 0"
"NNXOXNNNO","2"," 2"," 0"," 0"," 0"," 2"," 2"," 2"," 0"
"OONOXNXNX","0"," 0"," 1"," 0"," 0"," 1"," 0"," 1"," 0"
"NXXONNNON","2"," 0"," 0"," 0"," 2"," 2"," 2"," 0"," 2"
"ONNXOXXON","0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"
"XNXNNOOXO","0"," 1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"
"ONOXONNXX","0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"
"NNNOONXNX","2"," 2"," 2"," 0"," 0"," 2"," 0"," 2"," 0"
"NXNONNXON","2"," 0"," 2"," 0"," 3"," 2"," 0"," 0"," 2"
"XNNOXNOXO","0"," 1"," 4"," 0"," 0"," 1"," 0"," 0"," 0"
"NNNNXNNNO","92"," 0"," 0"," 7"," 0"," 191"," 51"," 0"," 0"
"NNNOXONXN","0"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 2"
"NXOXNONOX","1"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"
"NOONXOXXN","1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"
"XNXOOXONN","0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 1"
"XOXONNNOX","0"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 0"
"NNNNXNOOX","2"," 2"," 3"," 2"," 0"," 2"," 0"," 0"," 0"
"NNNONXXNO","3"," 2"," 3"," 0"," 2"," 0"," 0"," 2"," 0"
"XXOXNNOON","0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"
"OXNXOOXNN","0"," 0"," 3"," 0"," 0"," 0"," 0"," 1"," 2"
"NNOXNNNOX","2"," 2"," 0"," 0"," 2"," 2"," 2"," 0"," 0"
"NXNNXONON","2"," 0"," 3"," 2"," 0"," 0"," 3"," 0"," 7"
"NNXONXNNO","2"," 2"," 0"," 0"," 3"," 0"," 2"," 2"," 0"
"NNONXXNON","4"," 3"," 0"," 2"," 0"," 0"," 2"," 0"," 2"
"NXXONOONX","1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"
"NOOXXNONX","1"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"
"NXNNNNNNO","4"," 0"," 4"," 4"," 4"," 4"," 4"," 4"," 0"
"NONXXNOOX","1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"
"ONOXOXXNN","0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 1"
"XOXNNONOX","0"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 0"
"NNNONNNXN","4"," 4"," 4"," 0"," 5"," 4"," 4"," 0"," 4"
"ONXXNXONO","0"," 1"," 0"," 0"," 1"," 0"," 0"," 1"," 0"
"XXNNONONN","0"," 0"," 2"," 2"," 0"," 2"," 0"," 2"," 2"
"ONNNOXOXX","0"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"
"NNNNNNXNO","6"," 4"," 4"," 4"," 4"," 4"," 0"," 4"," 0"
"NNONXNONX","2"," 0"," 0"," 2"," 0"," 0"," 0"," 2"," 0"
"ONXXXNOON","0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 6"
"NXNNNOXON","2"," 0"," 2"," 2"," 2"," 0"," 0"," 0"," 2"
"OOXNXONNX","0"," 0"," 0"," 2"," 0"," 0"," 1"," 2"," 0"
"XNOXOXNON","0"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
"OXNNONNXN","0"," 0"," 2"," 2"," 0"," 2"," 2"," 0"," 2"
"XNONOOXXN","0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 1"
"XXNXOONON","0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
